,Property Id,Property Name,Postal Code,Source EUI (kBtu/ftå_),Number of Buildings - Self-reported,Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (ftå_),Year Built,Metered Areas (Energy),ENERGY STAR Score,Median Income for Zip,building_type,gas_heat,gas_water,gas_equip,elec_heat,elec_lighting,elec_equipment,elec_fans,elec_ref,elec_cool,elec_percent_total,ENERGY STAR binned,binned source EUI
28,"2,825,730",Meyer Hall,10003,84.5,2,Manhattan,College/University,199058.1,1971,Whole Building,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
31,"3,111,973",Metro North - 420-440 East 102 St.,10029,131.0,2,Manhattan,Multifamily Housing,175885.0,1973,Whole Building,40.0,22232.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
32,"3,129,181",Benjamin: 86-02 208 St (Parent),11427,105.5,4,Queens,Multifamily Housing,152308.0,1952,Whole Building,67.0,51336.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
33,"3,129,218",Benjamin: 206-10 86 Rd (Parent),11427,62.4,6,Queens,Multifamily Housing,228570.0,1952,Whole Building,99.0,51336.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
34,"3,129,231",Benjamin: 209-30 86 Drive (Parent),11427,158.2,4,Queens,Multifamily Housing,152380.0,1952,Whole Building,12.0,51336.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
35,"3,129,256",Benjamin: 209-31 86 Drive (Parent),11427,87.4,8,Queens,Multifamily Housing,304760.0,1952,Whole Building,88.0,51336.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
41,"2,977,473",514 West 114th Street,10027,11.2,1,Manhattan,Multifamily Housing,42352.0,1908,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
42,"2,658,221",520 West 114th,10027,15.8,1,Manhattan,Residence Hall/Dormitory,42128.0,1908,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
43,"2,746,882",Hogan Hall,10027,93.0,1,Manhattan,Residence Hall/Dormitory,72109.0,1898,Whole Building,89.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
44,"2,658,276",Broadway Residence,10027,107.3,1,Manhattan,Residence Hall/Dormitory,140056.0,1924,Whole Building,86.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Moderate
55,"2,747,217",Wien Hall,10027,0.0,1,Manhattan,Residence Hall/Dormitory,105156.0,1925,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
56,"2,780,716",Jerome Greene Law School,10027,230.3,1,Manhattan,Office,249978.0,1961,Whole Building,73.0,23150.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,High
57,"3,114,587",President's House,10027,0.0,1,Manhattan,Office,16803.0,1950,Whole Building,100.0,23150.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,High,Low
60,"2,780,735",International Affairs,10027,219.5,1,Manhattan,Office,423521.0,1910,Whole Building,71.0,23150.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,High
61,"2,780,733",East Campus,10027,0.0,1,Manhattan,Residence Hall/Dormitory,352040.0,1980,Whole Building,100.0,23150.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
63,"2,658,585",CEPSR Schapiro,10027,5874.8,1,Manhattan,Office,204069.0,1988,Whole Building,1.0,23150.0,large office,0.9577716894298184,0.04222645184794165,0.0,0.0,0.3341679857366653,0.41928054145059984,0.023161604192461386,0.0,0.22339022328843353,0.8397624928481887,Low,Extremely High
69,"2,747,235",Kent,10027,0.0,1,Manhattan,Office,111632.0,1910,Common areas only,,23150.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Not Available,Low
75,"2,809,829",445 Riverside Drive,10027,11.9,1,Manhattan,Residence Hall/Dormitory,57903.0,1932,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
79,"3,105,049",Mudd,10027,0.3,1,Manhattan,College/University,287737.0,1950,Whole Building,,23150.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
89,"2,977,360",15 Claremont,10027,0.1,1,Manhattan,Multifamily Housing,53440.0,1909,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
90,"2,658,206",39 Claremont,10027,1.4,1,Manhattan,Residence Hall/Dormitory,74328.0,1920,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
91,"2,658,213",464 Riverside,10027,0.3,1,Manhattan,Residence Hall/Dormitory,50120.0,1924,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
92,"2,658,209",460 Riverside,10027,9.3,1,Manhattan,Residence Hall/Dormitory,49668.0,1924,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
94,"2,363,861",Irving Cancer Research Center,10032,785.2,1,Manhattan,Office,226310.0,2004,Whole Building,1.0,26237.0,large office,0.9577716894298184,0.04222645184794165,0.0,0.0,0.3341679857366653,0.41928054145059984,0.023161604192461386,0.0,0.22339022328843353,0.8397624928481887,Low,Extremely High
97,"2,263,463",P&S - Black,10032,864.5,1,Manhattan,Office,498466.0,1929,Whole Building,,26237.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Not Available,Extremely High
98,"2,746,925",Georgian,10032,169.1,1,Manhattan,Office,56959.0,1914,Whole Building,74.0,26237.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,High,High
100,"2,605,684",Hammer Health Sciences Center,10032,969.0,1,Manhattan,Office,246237.0,1976,Whole Building,1.0,26237.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,Low,Extremely High
101,"2,741,415",Bard Hall,10032,161.7,1,Manhattan,Office,117368.0,1929,Whole Building,84.0,26237.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,High
102,"2,741,534",Tower 1,10032,167.6,1,Manhattan,Office,138403.0,1973,Whole Building,78.0,26237.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,High
103,"2,741,571","Towers 2,3",10032,177.2,1,Manhattan,Office,285890.0,1973,Whole Building,78.0,26237.0,large office,0.9715829497698619,0.028417050230138085,0.0,0.0,0.3076708812811035,0.3998716676027639,0.02677738737444324,0.0,0.26568006374168945,0.7970968470743061,High,High
104,"2,741,656",154 Haven Dormitory,10032,159.6,1,Manhattan,Office,52850.0,1970,Whole Building,81.0,26237.0,small office building,0.9420490780535146,0.05795092194648551,0.0,0.0,0.3556009275918134,0.30799975741683583,0.20909513591876927,0.0,0.12722909380748715,0.8571601848620095,High,High
107,"2,266,206",41 Park Row,10038,165.7,1,Manhattan,College/University,128572.0,1905,Whole Building,,31316.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,High
111,"1,418,514",Kimmel,10065,367.8,1,Manhattan,Medical Office,30840.0,2003,Whole Building,6.0,110163.0,small office building,0.7801295619267526,0.2198704380732474,0.0,0.16580156456101108,0.3633576388171659,0.31471814589782254,0.022013627202469303,0.0,0.13402934953567772,0.9560162720891918,Low,Extremely High
115,"2,921,191","Silver Tower 1,2&Garage",10012,12.8,1,Manhattan,Multifamily Housing,454925.0,1966,Another configuration,100.0,58313.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
116,"2,825,704",Mercer Street Residence,10012,22.5,1,Manhattan,Residence Hall/Dormitory,298336.0,1981,Whole Building,100.0,58313.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
117,"2,694,253",1 Washington Square Village,10012,46.9,1,Manhattan,Multifamily Housing,306659.0,1959,Whole Building,100.0,58313.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
118,"2,706,483",3 Washington Square Village,10012,44.3,1,Manhattan,Multifamily Housing,322355.0,1960,Whole Building,100.0,58313.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
119,"2,706,492",4 Washington Square Village,10012,53.3,1,Manhattan,Multifamily Housing,322571.0,1960,Whole Building,100.0,58313.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
121,"2,826,071",Shimkin Hall,10012,61.7,1,Manhattan,College/University,89951.0,1896,Whole Building,,58313.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
124,"2,826,188",Warren Weaver Hall,10012,10711.8,1,Manhattan,College/University,158590.0,1966,Whole Building,,58313.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Extremely High
127,"2,825,112",D?Agostino Hall,10012,4.7,1,Manhattan,Residence Hall/Dormitory,144268.0,1986,Whole Building,100.0,58313.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
129,"2,825,703",King Juan Carlos Center,10012,166.2,1,Manhattan,College/University,61310.0,1895,Another configuration,,58313.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,High
130,"2,704,501",Furman Hall,10012,31.2,1,Manhattan,College/University,168566.0,2001,Whole Building,,58313.0,secondary education,0.8973390502176314,0.05674527382576496,0.04591567595660365,0.0,0.33451895092055506,0.1736047018866162,0.08163131537252025,0.010491246495697647,0.39975378532461087,0.6329664030612122,Not Available,Low
132,"2,704,702",East Building,10003,177.5,1,Manhattan,College/University,103680.0,1893,Whole Building,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,High
133,"2,825,503",Education Building,10003,4.1,1,Manhattan,College/University,151070.0,1929,Another configuration,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
134,"2,866,471",19 West 4th Street,10012,93.7,1,Manhattan,College/University,128679.0,1894,Whole Building,,58313.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
135,"2,709,676",25 West 4th Street,10012,109.8,1,Manhattan,College/University,73913.0,1891,Whole Building,,58313.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Moderate
136,"2,826,111",Silver Center - Main Building,10003,36.6,1,Manhattan,College/University,258155.0,1895,Whole Building,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
137,"2,826,196",Waverly Building,10003,0.0,1,Manhattan,College/University,60329.0,1906,Whole Building,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
138,"2,710,436",Brown Building,10003,0.0,1,Manhattan,College/University,124526.0,1901,Another configuration,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
140,"2,709,799",721-725 Broadway,10003,4.8,1,Manhattan,College/University,262739.0,1896,Another configuration,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
141,"2,709,808",715-719 Broadway,10003,61.0,1,Manhattan,College/University,97711.0,1896,Another configuration,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Low
142,"2,826,200",Weinstein Residence Hall/ Rufus Smith,10003,12.9,1,Manhattan,Residence Hall/Dormitory,169984.0,1962,Whole Building,100.0,60891.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
143,"2,706,453",19 University Place,10003,246.4,1,Manhattan,College/University,69021.0,1896,Whole Building,,60891.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,High
144,"2,825,644",Hayden Hall,10011,50.5,1,Manhattan,Residence Hall/Dormitory,182714.0,1929,Whole Building,100.0,61986.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
145,"2,709,720",37 Washington Square West,10012,26.4,1,Manhattan,Multifamily Housing,119090.0,1928,Another configuration,,58313.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Not Available,Low
149,"2,779,662",NYEEI North Bldg,10003,721.5,1,Manhattan,Hospital (General Medical & Surgical),138068.0,1969,Whole Building,3.0,60891.0,hospital / medical,0.8817675614509263,0.04016615643140673,0.07806800620902768,0.0,0.19019160454325912,0.25870306868870985,0.08521779800112336,0.03542793575445246,0.443534029640023,0.7244850344788165,Low,Extremely High
152,"3,054,453",CMSV 3,10471,168.0,1,Bronx,Residence Hall/Dormitory,200261.0,1924,Whole Building,59.0,56488.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,High
153,"3,054,414",CMSV 1,10471,218.5,1,Bronx,College/University,117060.0,1848,Whole Building,,56488.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,High
156,"2,785,179","LIU, Stores, Office",11201,286.4,1,Brooklyn,Residence Hall/Dormitory,40000.0,1925,Whole Building,23.0,56293.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Extremely High
158,"2,809,940",601 West 112th,10027,7.1,1,Manhattan,Multifamily Housing,54100.0,1939,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
159,"2,809,939",600 West 113th Street,10027,168.3,1,Manhattan,Residence Hall/Dormitory,88332.0,1910,Whole Building,61.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,High
160,"2,809,941",601 West 113th,10027,36.4,1,Manhattan,Multifamily Housing,188572.0,1909,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
161,"2,809,828",435 West 119th Street,10027,112.8,1,Manhattan,Multifamily Housing,87260.0,1964,Whole Building,58.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
162,"2,809,891",434 West 120th Street,10027,26.3,1,Manhattan,Multifamily Housing,89091.0,1967,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
163,"2,977,495",414 West 119th Street,10027,10.8,1,Manhattan,Multifamily Housing,53676.0,1910,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
164,"2,809,890",430 West 119th Street,10027,15.6,1,Manhattan,Multifamily Housing,50292.0,1910,Whole Building,100.0,23150.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,High,Low
165,"2,809,865",414 West 120th Street,10027,91.2,1,Manhattan,Multifamily Housing,62334.0,1980,Whole Building,85.0,23150.0,residential,0.8062628036289143,0.19373719637108577,0.0,0.002454883900222157,0.5572079246086895,0.4546607289585003,0.0704511102770367,0.0,0.13748364256078882,0.4015274326911327,High,Low
166,"3,924,330",Manhattan Campus,10025,346.1,3,Manhattan,Senior Care Community,288790.0,1915,Whole Building,66.0,49733.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Extremely High
170,"4,046,078",Jacobs Academic Building,11201,338.6,2,Brooklyn,College/University,357000.0,2000,Whole Building,,56293.0,secondary education,0.8973390502176314,0.05674527382576496,0.04591567595660365,0.0,0.33451895092055506,0.1736047018866162,0.08163131537252025,0.010491246495697647,0.39975378532461087,0.6329664030612122,Not Available,Extremely High
171,"5,101,855",JACOBS CIVIL ENGINEERING,11201,1918.9,0,Brooklyn,College/University,63000.0,1930,Whole Building,,56293.0,secondary education,0.911872181752174,0.04816029984403857,0.03996751840378741,0.0,0.428321302233511,0.2209095144889299,0.17995425513134528,0.013435987571132691,0.15737894057508112,0.5396774905612834,Not Available,Extremely High
172,"4,092,487","Bay Plaza Community Center, LLC",10475,355.6,4,Bronx,Strip Mall,402587.0,1987,Whole Building,,40528.0,mall,1.0,0.0,0.0,0.0,0.6952968269933659,0.08207056133581765,0.13498881505543006,0.0,0.08763830032812833,0.6181761965758242,Not Available,Extremely High
175,"5,070,501",Bob's Furniture,10475,204.1,0,Bronx,Retail Store,50000.0,2004,Whole Building,,40528.0,retail,1.0,0.0,0.0,0.0023389013690731965,0.6135971759125795,0.10813883283382378,0.1879932770183903,0.0,0.08792637356062379,0.6223620693157121,Not Available,High
177,"4,288,940",Amalgamated Warbasse Houses-Block 7250,11224,184.2,4,Brooklyn,Multifamily Housing,1385656.0,1965,Whole Building,3.0,21281.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
178,"4,288,948",Amalgamated Warbasse Houses-Block 7253,11224,190.7,3,Brooklyn,Multifamily Housing,1989288.0,1965,Whole Building,2.0,21281.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
184,"4,397,919",DUNBAR OWNER LLC,10039,163.4,6,Manhattan,Multifamily Housing,436115.0,1928,Whole Building,17.0,17370.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,High
185,"5,834,267",211 West 149th Street,10039,127.2,1,Manhattan,Multifamily Housing,74068.0,1928,Whole Building,34.0,17370.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Moderate,Moderate
186,"5,834,261",2580 7th Avenue,10039,141.3,1,Manhattan,Multifamily Housing,84442.0,1928,Whole Building,22.0,17370.0,residential,0.831702601878839,0.1682914861038032,0.0,0.004439318012193585,0.32004768874371176,0.43443282381335474,0.08299973829347962,0.0,0.15807073830317248,0.08108756000867709,Low,Moderate
